"COD_ITEM","NUM_ORDEM","QTDE","DESC_TECNICA"
"126266",1116934,1,"TRANSICAO EXCENTRICA SAE 1020 1,90 269X196,2X113,2"
"126270",1116774,3,"CONJUNTO AMORTECEDOR 354X486,6X164,7 FINAL 45GRAUS DIAM 150 EXP"
"126272",1116775,2,"CONJUNTO INTERLIGACAO 249X653,2X250,2 EXP"
"126279",1116943,4,"TUBO FAB REDONDO SAE 1020 1,90 131,7X101,1X133,8"
"126463",1116777,2,"CONJUNTO FIXACAO 58X42,6X1344,3 EL6 ESQ EXP"
"126466",1116946,2,"CHAPA FAB PISO EXPANDIDA_FAB_50X100 4,75 751,0X1180,0X4,8"
"126469",1116947,1,"TRANSICAO EXCENTRICA SAE 1020 1,90 149,7X249,6X145,7"
"126470",1116948,1,"TRANSICAO EXCENTRICA SAE 1020 1,90 149,6X249,6X166,1"
"10060",1116949,4,"BARRA FAB CHATA ASTM A36 3,17 290X31,8X3,2 C/F"
"10074",1117117,4,"BARRA FAB CHATA ASTM A36 3,17 363,5X31,8X3,2 C/F"
"120380",1116856,2,"CONJUNTO PATAMAR 1005,3X105,3X3005,3 EXP"
"120383",1116858,1,"CJ TRAVESSA PERFIL U 165,0X87,7X584,2 EXP"
"120388",1116745,2,"CONJUNTO INTERLIGACAO 780,2X649,0X164, EXP"
"121560",1116862,4,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 38,1X45X4,8 EL8 C/F F/E"
"10075",1117118,4,"BARRA FAB CHATA ASTM A36 3,17 250X31,8X3,2 C/F"
"11223",1117119,2,"APOIO CALHA SAE 1020 2,65 281,3X190,7X50"
"14674",1116783,2,"TRANSICAO CONCENTRICA SAE 1020 1,90 211,3X60,6X101,1"
"16717",1116786,1,"CHAPA FAB LIGACAO SAE 1020 1,90 211,8X84,9X123,3 ESQ"
"16718",1116787,1,"CHAPA FAB LIGACAO SAE 1020 1,90 211,8X167,4X84,4"
"123000",1116865,2,"PERFIL LAM FAB CANT ASTM A36 4,75 38,1X38,1X1321"
"123001",1116866,2,"PERFIL LAM FAB CANT ASTM A36 4,75 38,1X38,1X1321 ESQ"
"123035",1117064,2,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 577,7X100,1X40,1 C/F EXP"
"118009",1116870,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 1,9 322X36X1,9 EL8P C/F"
"16720",1116789,2,"FLANGE LAM PADRAO ASTM A36 3,17 170X31,8X3,2 C/F"
"17183",1116957,6,"TUBO DE CHAPA REDONDO SAE 1020 2,65 152X152X340 C/RECORTE"
"17198",1117136,4,"CHAPA FAB PLANA RETANGULAR SAE 1020 3,17 165X120X3,2"
"17210",1117141,8,"TRANSICAO EXCENTRICA SAE 1020 1,90 171,4X85,9X51,4 ESQ"
"118021",1116877,2,"FECHAMENTO SUPERIOR SAE 1020 1,90 272X1,9X338 EL6P C/F"
"119905",1117075,2,"CHAPA FAB PLANA RETANGULAR SAE 1020 6,35 165X300X6,4 C/F"
"113051",1117076,39,"CONJUNTO SUPORTE FIXACAO 80X50X38,1 EXP"
"17340",1116958,4,"FECHAMENTO LATERAL SAE 1020 1,90 32X205X145 C/F"
"18069",1116791,1,"CJ BICA SAIDA 305,2X281,3X353 RT250 EXP"
"18072",1116964,2,"CJ APOIO ROSCA 281,3X281,5X57,4 RT250 EXP"
"24143",1117202,1,"RODAPE PADRAO SAE 1020 1,90 199,2X7X200 C/F C/E ESQ"
"23903",1117233,53,"BARRA FAB CHATA ASTM A36 3,17 400X50,8X3,2"
"25630",1117150,20,"CJ TUBO P/CORRIMAO 31,8X88,6X176,6 UNIAO 40GRAUS EXP"
"33245",1116979,3,"FECHAMENTO LATERAL SAE 1020 1,90 151,8X80,8X83 ESQ"
"35758",1117204,1,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X1182,1 C/C"
"44575",1116987,12,"TUBO FAB REDONDO SAE 1020 31,8X31,8X2015 EXP"
"47726",1117156,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 3,17 250X250X3,2 C/F P/MAO FR EXP"
"45738",1117210,2,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X218 C/F TP1"
"55875",1117165,71,"CHAPA FAB ABRACADEIRA SAE 1020 1,50 32X143,2X117,7 DIAM 102 EXP"
"55694",1117167,2,"CHAPA FAB FIXACAO SAE 1020 2,65 122X192X27,7 C/F ESQ EXP"
"55698",1117169,4,"RODAPE PADRAO SAE 1020 1,90 199,2X7X3000 C/F EXP"
"57137",1116993,12,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X654,1 EXP"
"63853",1116726,4,"CJ TRANSICAO EXCENTRICA 263,5X333,5X218,1 DIAM 150 EXP"
"76528",1117176,1,"PERFIL U FAB PADRAO SAE 1020 3,17 38,2X81,3X1248,1 C/C C/E"
"76529",1117177,1,"PERFIL U FAB PADRAO SAE 1020 3,17 81,3X38,2X1650 C/C"
"108730",1117017,2,"CJ TUBO P/CORRIMAO 100X81,7X31,8 INTERMEDIARIO SUP EXP"
"126208",1117100,2,"CONJUNTO SUPORTE FIXACAO 50X100X290 TP1 EXP"
"126211",1116757,12,"CONJUNTO VEDACAO 221X251X37,7 EXP"
"126212",1116903,2,"TUBO FAB REDONDO SAE 1020 1,90 303,8X30X303,8"
"126218",1116758,2,"CONJUNTO INTERLIGACAO 164,7X145X164,7 EXP"
"126220",1116907,1,"FECHAMENTO LATERAL SAE 1020 1,90 10,5X98,2X201,4"
"111858",1116814,1,"CJ TRAVESSA PERFIL U 200,0X87,7X1248,1 EXP"
"106649",1117183,5,"TUBO FAB REDONDO SAE 1020 31,8X31,8X650 EXP"
"119201",1117025,2,"TUBO FAB QUADRADO SAE 1020 3,17 80X80X1567,8"
"120270",1116817,16,"LATERAL REDUCAO SAE 1020 1,90 205X70,9X39,2"
"120279",1117032,2,"CHAPA FAB PISO XADREZ SAE 1020 3,17 242,0X1262,0X3,2 C/F EXP"
"120280",1117033,4,"CHAPA FAB PISO XADREZ SAE 1020 3,17 762,0X1832,0X3,2 C/F EXP"
"120292",1116822,8,"FLANGE LAM PADRAO ASTM A36 3,17 209X31,8X3,2 C/F"
"120298",1116824,4,"PERFIL U FAB PADRAO SAE 1020 4,75 120X45X2385,8 EXP"
"120346",1116848,1,"TUBO FAB QUADRADO ASTM A36 4,75 100X100X2530 C/C"
"120347",1117047,1,"BANZO LATERAL SAE 1020 3,17 523,4X518X69,5"
"120348",1117048,1,"BANZO LATERAL SAE 1020 3,17 523,4X518X69,5 ESQ"
"120356",1116853,1,"CJ BANZO LATERAL ESCADA 527,3X518,3X69,5 EXP"
"120364",1116855,1,"RODAPE PADRAO SAE 1020 1,90 726X199,2X7 C/E EXP"
"120370",1116738,1,"CJ TRAVESSA PERFIL W 1922,3X203X132,8 EXP"
"126269",1116773,1,"CJ TRANSICAO EXCENTRICA 333,5X297,2X263,5 DIAM 150 EL6P ANGULAR EXP"
"126273",1116938,1,"TUBO FAB REDONDO SAE 1020 2,65 152X152X21"
"126278",1116942,1,"FECHAMENTO TRASEIRO SAE 1020 1,90 392,8X491,9X250"
"126002",1117113,2,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X1070,0 C/F TP1"
"126250",1116769,1,"CONJUNTO INTERLIGACAO 164,7X102,1X164,7 ENTRADA DRWA EXP"
"126253",1116770,4,"FLANGE CHAPA REDONDO SAE 1020 3,17 310,7X310,7X3,2 DIAM 305 EXP"
"10068",1116779,10,"BARRA FAB CHATA ASTM A36 3,17 31,8X333,5X3,2 C/F"
"120376",1116742,2,"CJ PILAR TUBULAR 523,7X177,5X2163,5 EXP"
"120264",1116748,4,"CONJUNTO INTERLIGACAO 558,3X694,8X164,7 EXP"
"119975",1117223,6,"CONJUNTO BENGALA 50,8X1153,2X181,3 PASSO 150 EXP"
"11270",1117193,4,"BARRA FAB REDONDA SAE 1020 7,9X7,9X235"
"123005",1116751,2,"CONJUNTO MAO FRANCESA 40,1X42,9X1328,7 ESQ EXP"
"118016",1116872,3,"FECHAMENTO LATERAL SAE 1020 1,90 36,1X381,1X218 EL5P ESQ"
"16719",1116788,2,"FLANGE LAM PADRAO ASTM A36 3,17 290X31,8X3,2 C/F"
"17175",1116955,2,"TUBO DE CHAPA REDONDO SAE 1020 1,90 152X152X100 C/RECORTE"
"17201",1117139,4,"BARRA FAB REDONDA SAE 1020 12,7X12,7X198"
"118032",1116881,1,"FECHAMENTO LATERAL SAE 1020 1,90 36,1X456,1X348 C/F ESQ"
"17275",1117142,3,"FLANGE CHAPA RETANGULAR SAE 1020 1,90 130X130X1,9 C/F"
"18622",1116962,24,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X863,5 EXP"
"24142",1117201,1,"RODAPE PADRAO SAE 1020 1,90 199,2X7X200 C/F C/E"
"23958",1117147,2,"RODAPE PADRAO SAE 1020 1,90 199,2X7X600 C/F EXP"
"32266",1116970,10,"CJ TRANSICAO CONCENTRICA 228,2X228,2X135 DIAM  150 EXP"
"26576",1116800,4,"CONJUNTO FECHAMENTO 269X39,9X145 S/RECORTE PM"
"24505",1117235,10,"FECHAMENTO LATERAL SAE 1020 1,90 148,1X148,1X60 C/RASGO"
"34217",1116973,4,"BARRA FAB CHATA ASTM A36 3,17 1183,7X50,8X3,2"
"33244",1116978,3,"FECHAMENTO LATERAL SAE 1020 1,90 151,8X80,8X83"
"26235",1116980,4,"RODAPE PADRAO SAE 1020 1,90 199,2X7X1435 C/F EXP"
"26297",1117205,6,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X600 EXP"
"27621",1117155,6,"BARRA FAB CHATA ASTM A36 3,17 286,3X50,8X3,2"
"44710",1117161,1,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X2500 C/F P300 ESQ EXP"
"55689",1117166,40,"PERFIL L FAB PADRAO SAE 1020 1,90 51,9X51,9X150 C/F EXP"
"55877",1117172,12,"CHAPA FAB ABRACADEIRA SAE 1020 1,50 38,5X243,2X217,7 DIAM 200 EXP"
"55952",1117217,508,"TUBO FAB REDONDO SAE 1020 1,20 28,6X28,6X150 EXP"
"51388",1116997,7,"TUBO FAB REDONDO SAE 1020 31,8X31,8X460 EXP"
"66696",1117173,30,"TUBO FAB REDONDO SAE 1020 31,8X31,8X100 45GRAUS TP1"
"67225",1117218,4,"FIXACAO ACIONAMENTO SAE 1020 3,17 20X129,3X15,3 C/F"
"75774",1116727,3,"CONJUNTO REDUCAO 164,7X164,7X115 DIAM 62X150 EXCENTRICA EXP"
"126170",1117088,1,"FECHAMENTO INFERIOR SAE 1020 1,90 121,4X121,4X100"
"126176",1116887,4,"BARRA FAB CHATA ASTM A36 3,17 249X38,1X3,2"
"126177",1116888,4,"BARRA FAB CHATA ASTM A36 3,17 174X38,1X3,2"
"126180",1116890,7,"TUBO FAB REDONDO SAE 1020 1,90 115X50X115"
"126181",1116891,6,"TUBO FAB REDONDO SAE 1020 1,90 123,8X30X123,8"
"126182",1117091,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 35X74,6X4,8"
"126187",1116894,4,"PERFIL U FAB PADRAO SAE 1020 1,90 28,9X203,8X158,5 C/F"
"65203",1117006,4,"BARRA FAB CHATA ASTM A36 3,17 247,3X50,8X3,2"
"108725",1117181,10,"CHAPA FAB PLANA RETANGULAR SAE 1020 2,7X50X40 C/C"
"126196",1116898,1,"CONJUNTO BENGALA 50,8X1153,2X282,3 PASS0 150 EXP"
"126201",1117096,2,"PERFIL U FAB PADRAO SAE 1020 4,75 40X94X1840 ESQ C/F EXP"
"126202",1117097,2,"PERFIL U FAB PADRAO SAE 1020 1,90 40X94X1840 ESQ C/F EXP"
"126206",1117098,1,"RODAPE PADRAO SAE 1020 1,90 447X199,2X7 C/C"
"116925",1116729,3,"CJ BICA ENTRADA 242X419X254 EL5P EXP"
"119190",1117023,2,"APOIO CINTAMENTO SAE 1020 6,35 180X180X6,4"
"120275",1117186,2,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 45X88X4,8 C/F"
"126225",1116910,12,"LATERAL REDUCAO SAE 1020 1,90 152X76X50,7"
"126230",1116912,19,"FLANGE CHAPA REDONDO SAE 1020 3,17 184X184X3,2 DIAM 120"
"126244",1116767,60,"FLANGE CHAPA REDONDO SAE 1020 3,17 157,1X157,1X3,2 DIAM 126 EXP"
"120282",1116820,6,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 105X105X4,8 C/F"
"120306",1117038,1,"PERFIL U FAB PADRAO SAE 1020 3,17 81,3X38,2X855 C/C"
"120308",1116731,2,"PERFIL U FAB PADRAO SAE 1020 3,17 41,2X80,3X1148 C/F C/C EXP"
"120321",1116829,4,"TUBO FAB REDONDO SAE 1020 1,90 126,4X98,0X128,3"
"120323",1116831,2,"TUBO FAB REDONDO SAE 1020 1,90 774,9X594,9X152,9"
"120329",1117045,4,"FECHAMENTO SUPERIOR SAE 1020 1,90 293,3X168X447,9"
"120352",1116850,1,"PERFIL U FAB PADRAO SAE 1020 3,17 1200X106,4X53,2"
"120355",1116852,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 6,35 161X312X6,4 C/F"
"126259",1116929,4,"PERFIL L FAB PADRAO SAE 1020 1,90 169,9X650X169,9"
"126262",1116772,1,"CONJUNTO AMORTECEDOR 114,7X391X257,4 FINAL 45GRAUS DIAM 100 EXP"
"126267",1116935,1,"FECHAMENTO LATERAL SAE 1020 1,90 319,4X427,6X37,6"
"126268",1116936,1,"FECHAMENTO LATERAL SAE 1020 1,90 319,4X427,6X37,6 ESQ"
"126467",1116776,8,"PERFIL LAM FAB CANT ASTM A36 3,17 38,1X38,1X75,0 EXP"
"126461",1117109,2,"PERFIL U FAB PADRAO SAE 1020 4,75 40X94X1450 ESQ C/F EXP"
"126471",1116778,1,"CJ TRANSICAO EXCENTRICA 363,5X313,5X203,6 EXP"
"120377",1116743,2,"CJ PILAR TUBULAR 523,7X177,5X2163,5 ESQ EXP"
"119473",1117059,1,"CHAPA FAB PISO EXPANDIDA_FAB 4,75 1175X240X4,8"
"123002",1116867,1,"PERFIL LAM FAB CANT ASTM A36 4,75 38,1X38,1X1339 TP1"
"123004",1116750,2,"CONJUNTO MAO FRANCESA 40,1X42,9X1328,7 EXP"
"118017",1116873,3,"FECHAMENTO SUPERIOR SAE 1020 1,90 242X1,9X252 EL5P C/F"
"17013",1117131,2,"TRANSICAO EXCENTRICA SAE 1020 1,90 157,9X78,9X101"
"17197",1117135,8,"FECHAMENTO LATERAL SAE 1020 1,90 237,6X148,8X1,9 C/F"
"118031",1116880,1,"FECHAMENTO LATERAL SAE 1020 1,90 36,1X456,1X348 C/F"
"119978",1117225,6,"CONJUNTO BENGALA 50,8X1153,2X181,3 PASSO 150 ESQ EXP"
"119232",1117239,7,"PERFIL LAM FAB CANT ASTM 3,17 50,8X50,8X1150 C/F C/C ESQ PASSO 150"
"120018",1117077,4,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 38,1X45X4,8 EL11 C/F"
"126164",1117082,3,"TUBO FAB REDONDO SAE 1020 1,90 150,8X310,1X150,2"
"126165",1117083,3,"FECHAMENTO INFERIOR SAE 1020 1,90 182,4X182,4X150"
"126166",1117084,6,"FECHAMENTO LATERAL SAE 1020 1,90 128X256,1X1,9"
"17276",1117143,20,"FLANGE CHAPA RETANGULAR SAE 1020 1,90 180X180X1,9 C/F"
"17277",1117144,3,"FLANGE CHAPA RETANGULAR SAE 1020 1,90 230X230X1,9 C/F"
"17341",1116959,4,"FECHAMENTO LATERAL SAE 1020 1,90 269X145X32 C/ABERT C/F"
"23691",1116796,1,"TUBO FAB REDONDO SAE 1020 2,65 200X200X6000 EXP"
"23719",1116965,3,"CONJUNTO INTERLIGACAO 130X130X40 ENT P/SL-RT DIAM 100 PADRAO EXP"
"26577",1116801,4,"CONJUNTO FECHAMENTO 269X39,9X145 C/RECORTE PM"
"34363",1116802,2,"CONJUNTO Y90 164,7X308,4X259,2 DIAM 150 P/100 EXP"
"31222",1117149,2,"RODAPE PADRAO SAE 1020 1,90 199,2X7X991,3 EXP"
"32484",1117151,24,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X500 EXP"
"26074",1117154,4,"BARRA FAB CHATA ASTM A36 3,17 325X50,8X3,2"
"32124",1116803,6,"CONJUNTO Y45 114,7X221,9X260 DIAM 150 EXP"
"46693",1116805,6,"TUBO FAB REDONDO SAE 1020 31,8X31,8X1070 EXP"
"47747",1117207,2,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 35X74,6X4,8 C/F TP1"
"47749",1117159,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 34X102X4,8 C/F TP1"
"44722",1116992,1,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X2800 C/F P300 ESQ EXP"
"55690",1117214,210,"TUBO FAB REDONDO SAE 1020 1,20 31,8X310,9X310,9 CONF EXP"
"55703",1117215,216,"PRESILHA RODAPE SAE 1020 2,65 76,3X10,4X50 C/F EXP"
"50795",1116998,12,"TUBO FAB REDONDO SAE 1020 31,8X31,8X2000 EXP"
"63846",1116808,2,"TRANSICAO EXCENTRICA SAE 1020 1,90 102X169,7X149,1"
"66203",1117174,1,"CJ BICA SAIDA 305,2X353X282,2 RT250 PM"
"126178",1116754,1,"CJ TRANSICAO CONCENTRICA 228,2X70,2X228,2 DIAM  150 EXP"
"126185",1117092,1,"PERFIL U FAB PADRAO SAE 1020 3,17 1248,1X83X41,5 C/F"
"126186",1116893,6,"FLANGE CHAPA REDONDO SAE 1020 3,17 164X164X3,2 DIAM 100"
"126192",1117094,2,"CHAPA FAB PLANA RETANGULAR ASTM A36 6,35 260,0X260,0X6,4 C/F"
"63640",1117004,10,"CHAPA FAB GAVETA SAE 1020 1,9 200X143X30 C/F PM"
"65188",1117005,2,"RODAPE PADRAO SAE 1020 1,90 199,2X7X1258,2 C/F EXP"
"76527",1117007,1,"CJ TRAVESSA PERFIL U 38,2X81,34X1643 EXP"
"76543",1117009,1,"CJ TRAVESSA PERFIL U 53,2X81,3X1200 EXP"
"79614",1117179,4,"CHAPA FAB GAVETA SAE 1020 2,65 255X195X25 C/F PINT PM"
"91448",1117013,4,"CONJUNTO DIVISOR 223,0X252,1X343,7 DIAM 150 PM"
"126200",1117188,2,"PERFIL U FAB PADRAO SAE 1020 4,75 50X100X290 TP1 C/F"
"126213",1116904,2,"CONJUNTO BENGALA 50,8X1073,2X181,3 PASSO 150 EXP"
"126219",1116759,1,"CJ BICA ENTRADA 321,3X477,6X275,2 EL6P RT200 EXP"
"126223",1116909,8,"TUBO FAB REDONDO SAE 1020 1,90 120X30X120"
"110488",1117222,72,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X1150 C/F C/E PASSO 150 EXP"
"112645",1117185,24,"FLAMULA REFORCO SAE 1020 4,75 82X45X4,8"
"120269",1117026,4,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 65X138X4,8"
"120272",1116819,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 3,17 189X200X3,2 C/F EXP"
"120274",1117028,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 34X92X4,8 C/F"
"120277",1117030,2,"CHAPA FAB PISO XADREZ SAE 1020 3,17 248X860X3,2 C/F EXP"
"126249",1116921,1,"FECHAMENTO TRASEIRO SAE 1020 1,90 269,3X72,1X7"
"120296",1116730,1,"CONJUNTO MAO FRANCESA 2646,9X214,1X278,9 EXP"
"120304",1117036,2,"PERFIL U FAB PADRAO SAE 1020 3,17 105,3X52,7X2500 C/F"
"120313",1117041,2,"PERFIL U FAB PADRAO SAE 1020 1,90 40X94X1450 C/F EXP"
"120319",1116733,1,"CJ QUADRO PISO 1285,3X55,6X1890 EXP"
"120324",1116832,2,"TUBO FAB REDONDO SAE 1020 1,90 221,9X160,9X152,8"
"120337",1116839,1,"PERFIL L FAB PADRAO SAE 1020 2,65 50X130X50 C/F EXP"
"120354",1116851,3,"FLAMULA REFORCO SAE 1020 3,17 138X161X3,2"
"120357",1116854,1,"CJ BANZO LATERAL ESCADA 527,3X518,3X69,5 ESQ EXP"
"120358",1117050,2,"PERFIL U FAB ABAS DESIGUAIS SAE 1020 3,17 64X316,3X188,2"
"120360",1117052,1,"RODAPE PADRAO SAE 1020 1,90 301,9X216,3X9,6 ESQ"
"126274",1117107,2,"FECHAMENTO LATERAL SAE 1020 1,90 84,7X169,4X1,9"
"126458",1116945,2,"PERFIL LAM FAB CANT ASTM A36 3,17 38,1X38,1X1337 ESQ"
"120385",1116860,1,"CONJUNTO MAO FRANCESA 38,2X611,5X627,5 EXP"
"121553",1117055,1,"CHAPA FAB PISO XADREZ SAE 1020 3,17 140X25X290 EL8 C/F EXP"
"11611",1117198,3,"FECHAMENTO LATERAL SAE 1020 1,90 276,2X276,2X169,3"
"14875",1116951,4,"PERFIL U FAB PADRAO SAE 1020 3,17 113,3X53,2X300 C/F EXP"
"16216",1117230,7,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X218 C/F ESQ"
"16043",1117124,38,"TUBO FAB REDONDO SAE 1020 0,90 48X31,8X600 C/F PRENS EXP"
"123007",1117063,2,"PERFIL U FAB PADRAO SAE 1020 4,75 50X100X1823 C/F EXP"
"123120",1117070,1,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 250,1X94,1X40,1 TP1 EXP"
"17440",1117130,4,"LATERAL REDUCAO SAE 1020 1,90 75,8X151,6X50,8"
"17017",1117132,2,"CHAPA FAB PLANA RETANGULAR SAE 1020 1,90 30X218X1,9 C/F C/C"
"17018",1117133,2,"CHAPA FAB PLANA RETANGULAR SAE 1020 1,90 158X30X1,9 C/F"
"17209",1117140,8,"TRANSICAO EXCENTRICA SAE 1020 1,90 171,4X85,9X51,4"
"118025",1116879,1,"FECHAMENTO SUPERIOR SAE 1020 1,90 322X1,9X382 EL8P C/F"
"116794",1117072,1,"PERFIL LAM FAB CANT ASTM A36 50,8X50,8X150 QUADRO PISO ESQ"
"119461",1117074,1,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X1173 C/F ESQ P/ P150 EXP"
"126163",1117081,3,"TUBO FAB REDONDO SAE 1020 1,90 343,9X290,9X150,2"
"17280",1117145,8,"TRANSICAO CONCENTRICA SAE 1020 1,90 171,7X85,9X51,3"
"18070",1116963,1,"CJ BICA SAIDA 309,5X353X282,2 C/GAVETA RT250 EXP"
"23952",1116968,6,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X310 EXP"
"26574",1116798,4,"CONJUNTO FECHAMENTO 39,9X205X145 S/RECORTE PM"
"24604",1116972,6,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X1278,4 EXP"
"47727",1117157,2,"CHAPA FAB PLANA RETANGULAR SAE 1020 3,17 224X200X3,2 C/F P/MF EXP"
"47748",1117208,5,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 35X74,6X4,8 C/F TP2"
"55696",1117168,18,"CHAPA FAB FIXACAO SAE 1020 2,65 122X192X27,7 C/F EXP"
"59256",1117216,4,"BARRA FAB CHATA ASTM A36 3,17 239X50,8X3,2"
"126168",1117086,1,"TUBO FAB REDONDO SAE 1020 1,90 247,5X212,1X100,2"
"63862",1116812,4,"TRANSICAO EXCENTRICA SAE 1020 1,90 138,3X199X153"
"67227",1117219,4,"PERFIL L FAB ABAS DESIGUAIS SAE 1020 3,17 20X23,2X13,2 C/F"
"66210",1117175,1,"CHAPA FAB GAVETA SAE 1020 1,90 280X243X22 TP1 PM"
"126171",1117089,2,"BARRA FAB CHATA ASTM A36 3,17 25,4X63X3,2"
"126175",1116886,2,"TRANSICAO CONCENTRICA SAE 1020 1,90 155,8X77,9X42,2"
"126183",1116755,1,"CONJUNTO INTERLIGACAO 184X93,2X184 ENTRADA TRIEUR UN-410 EXP"
"126188",1116756,1,"CONJUNTO INTERLIGACAO 216,3X216,3X203,8 SAIDA RT150 EXP"
"108431",1117180,1,"CHAPA FAB PISO EXPANDIDA 4,75 980X2490X4,8"
"99941",1117221,20,"BARRA FAB CHATA ASTM A36 3,17 998X50,8X3,2"
"106756",1117018,2,"RODAPE PADRAO SAE 1020 1,90 199,2X7X2500 C/F EXP"
"126199",1116900,2,"CHAPA FAB LIGACAO SAE 1020 1,90 165,4X230,8X265 C/F"
"126226",1116911,2,"LATERAL REDUCAO SAE 1020 1,90 152X76X26,1"
"126231",1116763,12,"FLANGE CHAPA REDONDO SAE 1020 3,17 140X140X3,2 DIAM 106 EXP"
"126233",1117105,12,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 40X94X782 TP1 C/F EXP"
"126242",1117106,2,"PERFIL U FAB PADRAO SAE 1020 3,17 550X83X41,5 C/C"
"126245",1116918,2,"FLANGE CHAPA REDONDO SAE 1020 3,17 364X364X3,2 DIAM 300"
"126246",1116919,1,"FECHAMENTO SUPERIOR SAE 1020 1,90 84,6X34,9X275,2"
"120291",1116821,8,"FLANGE LAM PADRAO ASTM A36 3,17 272X31,8X3,2 C/F"
